3.695; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
13.682; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
13.794; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
13.889; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
13.984; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
14.096; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
63.986; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
64.082; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0005 0000 008D 0182 031B 0033 031B 0008 031B FFED 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 08D3 ; 08D3; CRC OK;
64.177; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6701 ; 6701; CRC OK;
68.678; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0005 0000 0090 0151 003C 0023 0023 001E 001E 0084 3000 0000 0005 0000 0000 0000 007F 000A 000B 0061 AE01 0000 0002 5202 000F 9253 FF82 003C 000A 2548 ; 2548; CRC OK;
68.773; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC67 014B E697 000C 000F 0C71 AC0F 01C2 03D4 0000 0078 000D 7804 0000 0000 0000 0008 010D 63C3 01B7 000E 1739 ; 1739; CRC OK;
68.882; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 85CA 0000 0000 0000 0004 0114 AC23 09F5 0006 0000 0082 000D 9C3E 0000 0000 0000 0005 0146 C557 09F5 0006 E01D ; E01D; CRC OK;
68.978; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
69.089; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0006 0000 0097 0182 031B 0033 031B 0008 031B FFED 031B FFC6 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 1A7E ; 1A7E; CRC OK;
69.180; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6701 ; 6701; CRC OK;
73.687; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0006 0000 009B 0154 003C 0023 0023 001F 001D 0084 3000 0000 0006 0000 0000 0000 007F 000A 000B 0061 AE01 0000 0002 5202 000F 925E FF82 003C 000A B05D ; B05D; CRC OK;
73.782; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC67 014B E697 000C 000F 0C71 AC0F 01C2 03D4 0000 0078 000D 7804 0000 0000 0000 0008 010D 63C3 01B7 000E 1739 ; 1739; CRC OK;
