0.811; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
22.085; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0008 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE EA11 ; EA11; CRC OK;
22.195; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0003 0000 0000 0000 0000 0000 34C0 F4CA 0000 F7F7 0000 E5D5 0000 DE94 0000 D98F 0000 EE06 0000 F879 0000 E711 0000 F50E 0000 6374 0002 FEFE FEFE E3EC ; E3EC; CRC OK;
22.290; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DFDC 0000 D812 0000 D37A 0000 E019 0000 D8A9 0000 D051 0000 D8B8 0000 E89E 0000 EFBE 0000 A89B 0002 FEFE FEFE 0BFF ; 0BFF; CRC OK;
22.385; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0009 0000 0000 0000 0000 0000 46C0 AA12 0000 A5CC 0000 A0D3 0000 A273 0000 A91A 0000 A777 0000 A2BF 0000 B99F 0000 B841 0000 E1C2 0001 FEFE FEFE EBAD ; EBAD; CRC OK;
22.493; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000A 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0A95 ; 0A95; CRC OK;
22.587; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 302E ; 302E; CRC OK;
22.681; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000C 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2035 ; 2035; CRC OK;
22.789; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0001 0000 0000 0000 0000 0000 34BC 0028 0000 0025 0000 0023 0000 0026 0000 0026 0000 0025 0000 0026 0000 0033 0000 020E 0000 0683 0000 FEFE FEFE 407A ; 407A; CRC OK;
22.992; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0004 0000 0000 0000 0000 0000 3DBC 003A 0000 0039 0000 0038 0000 0038 0000 0039 0000 0039 0000 0036 0000 0005 0000 0002 0000 0005 0000 FEFE FEFE 0931 ; 0931; CRC OK;
23.087; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0007 0000 0000 0000 0000 0000 46BC A8C2 0000 150A 0001 ABE5 0002 23F8 0008 0B12 001C 9B30 0065 BD58 014C 15C9 005E 34C4 0005 7621 0001 FEFE FEFE 0E74 ; 0E74; CRC OK;
