32.916; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
42.896; W; CW 0xB224; AW 0xB000: 0001 0000 0064 0000 
42.992; W; CW 0xB224; AW 0xB000: 0003 0000 000A 0000 
43.102; W; CW 0xB224; AW 0xB000: 0003 0001 000B 0000 
43.196; W; CW 0xB224; AW 0xB000: 0003 0002 003C 0000 
43.291; W; CW 0xB224; AW 0xB000: 0003 0003 000A 0000 
83.391; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
87.889; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0006 0000 0090 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0006 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 2085 FF82 003C 000A 1A08 ; 1A08; CRC OK;
87.983; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
88.081; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
88.186; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
88.281; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0006 0000 008D 002B 031C 001A 031C FFFF 031C 0025 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A C06F ; C06F; CRC OK;
88.389; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
92.880; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0006 0000 0090 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0006 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 2085 FF82 003C 000A 1A08 ; 1A08; CRC OK;
92.986; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
93.081; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
93.190; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
93.284; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0006 0000 008D 002B 031C 001A 031C FFFF 031C 0025 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A C06F ; C06F; CRC OK;
93.379; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
97.890; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0006 0000 0090 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0006 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 2085 FF82 003C 000A 1A08 ; 1A08; CRC OK;
97.984; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
98.091; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
98.184; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
98.292; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0007 0000 0097 002B 031C 001A 031C FFFF 031C 0025 031C FFFD 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A F870 ; F870; CRC OK;
98.385; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
102.882; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0007 0000 009B 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0007 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 2090 FF82 003C 000A F9AC ; F9AC; CRC OK;
102.990; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
103.083; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
103.192; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
103.286; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0007 0000 0097 002B 031C 001A 031C FFFF 031C 0025 031C FFFD 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A F870 ; F870; CRC OK;
103.379; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
107.886; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0007 0000 009B 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0007 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 2090 FF82 003C 000A F9AC ; F9AC; CRC OK;
